test_type,topic,level,question,option_a,option_b,option_c,option_d,answer,source
aptitude,Percentages,easy,What is 20% of 150?,25,30,35,20,30,indiabix
aptitude,Percentages,easy,What percent of 80 is 20?,20%,25%,30%,15%,25%,indiabix
aptitude,Percentages,easy,What is 10% of 500?,40,50,60,45,50,indiabix
aptitude,Percentages,easy,What is 25% of 200?,40,50,60,45,50,indiabix
aptitude,Percentages,easy,What is 5% of 400?,15,20,25,30,20,indiabix
aptitude,Percentages,easy,What is 50% of 90?,40,45,50,55,45,indiabix
aptitude,Percentages,easy,What is 15% of 300?,40,45,50,55,45,indiabix
aptitude,Percentages,easy,What percent is 50 of 200?,20%,25%,30%,15%,25%,indiabix
aptitude,Percentages,easy,What is 30% of 600?,160,170,180,190,180,indiabix
aptitude,Percentages,easy,What percent of 120 is 60?,40%,45%,50%,55%,50%,indiabix
aptitude,Percentages,medium,Price increased by 10% then decreased by 10%. Net change?,-1%,0%,+1%,-2%,-1%,indiabix
aptitude,Percentages,medium,A student scored 450 out of 600. Percentage?,70%,72%,75%,78%,75%,indiabix
aptitude,Percentages,medium,If 30% of a number is 90 what is the number?,270,280,300,320,300,indiabix
aptitude,Percentages,medium,Population of a town is 10000. It increases 10% annually. After 2 years?,11000,12000,12100,11500,12100,indiabix
aptitude,Percentages,medium,A shopkeeper marks price 20% above CP and gives 10% discount. Profit%?,8%,10%,12%,15%,8%,indiabix
aptitude,Percentages,medium,If 60% of a number is 48 what is 75% of that number?,55,60,65,70,60,indiabix
aptitude,Percentages,medium,A number increased by 20% becomes 84. Find original number.,60,65,70,75,70,indiabix
aptitude,Percentages,medium,What is 12.5% of 800?,90,95,100,105,100,indiabix
aptitude,Percentages,medium,In an election A gets 60% votes. Total votes 5000. A gets?,2800,3000,3200,3500,3000,indiabix
aptitude,Percentages,medium,Two numbers are 20% and 30% more than a third number. First is what % of second?,91.67%,92%,93%,90%,91.67%,indiabix
aptitude,Percentages,hard,If A's salary is 25% more than B then B's is what % less than A?,20%,25%,15%,10%,20%,indiabix
aptitude,Percentages,hard,The price of sugar rises by 25%. By what % must consumption be reduced to keep expenditure same?,20%,25%,15%,10%,20%,indiabix
aptitude,Percentages,hard,A's income is 40% more than B's. B's income is what % less than A's?,28.57%,30%,25%,35%,28.57%,indiabix
aptitude,Percentages,hard,In a class 40% are boys. Girls are 30 more than boys. Total students?,150,200,250,300,150,indiabix
aptitude,Percentages,hard,A mixture has milk and water in 3:1. What % of mixture should be replaced with water to make 50% water?,33.33%,25%,40%,50%,33.33%,indiabix
aptitude,Percentages,hard,If x% of y is 100 and y% of z is 200 then z/x=?,1,2,3,4,2,indiabix
aptitude,Percentages,hard,After 3 successive discounts of 10% 20% and 30% what is final price on Rs 1000?,496,504,510,520,504,indiabix
aptitude,Percentages,hard,A vendor sells 20 articles for Rs 240 and gains 20%. Find CP of each article.,8,9,10,12,10,indiabix
aptitude,Percentages,hard,A is 50% more than B and B is 50% more than C. A is what % more than C?,75%,100%,125%,150%,125%,indiabix
aptitude,Percentages,hard,If 15% of 40 is greater than 25% of a number by 2 find the number?,20,18,16,14,14,indiabix
aptitude,Percentages,easy,What is 40% of 250?,90,95,100,105,100,indiabix
aptitude,Percentages,easy,What is 75% of 80?,55,60,65,70,60,indiabix
aptitude,Percentages,easy,What percent of 50 is 5?,10%,12%,15%,8%,10%,indiabix
aptitude,Percentages,medium,A got 30% increase in salary to Rs 26000. Original salary?,18000,20000,22000,24000,20000,indiabix
aptitude,Percentages,medium,If 8% of a number is 4 what is 40% of that number?,20,25,30,35,20,indiabix
aptitude,Percentages,easy,What is 1% of 10000?,10,100,1000,50,100,indiabix
aptitude,Percentages,easy,What is 35% of 200?,60,65,70,75,70,indiabix
aptitude,Percentages,medium,A number decreased by 25% becomes 75. Find original number.,90,95,100,105,100,indiabix
aptitude,Percentages,hard,In a test Raj scored 15% more than Priya. Priya scored 20% less than Raj. Raj scored 460. Priya scored?,392,400,380,410,400,indiabix
aptitude,Percentages,medium,Tax increased from 5% to 6%. New tax amount on Rs.10000?,1000,600,1200,500,600,indiabix
aptitude,Percentages,easy,What is 60% of 90?,50,54,56,58,54,indiabix
aptitude,Percentages,easy,What is 80% of 75?,55,60,65,70,60,indiabix
aptitude,Percentages,medium,A man spends 60% of income. Income increases 20% and expenses increase 10%. Savings increase %?,35%,40%,45%,50%,35%,indiabix
aptitude,Percentages,hard,Two candidates in election get 60% and 40% votes respectively. Winner wins by 240 votes. Total votes?,1200,1100,1000,900,1200,indiabix
aptitude,Percentages,medium,A reduction of 20% in price enables a man to buy 5 more kg for Rs 200. Price per kg before reduction?,10,8,12,15,10,indiabix
aptitude,Percentages,hard,A shopkeeper cheats 10% while buying and 10% while selling. Gain%?,21%,20%,15%,10%,21%,indiabix
aptitude,Percentages,easy,What is 45% of 80?,34,36,38,40,36,indiabix
aptitude,Percentages,easy,What percent of 200 is 50?,20%,25%,30%,35%,25%,indiabix
aptitude,Percentages,medium,A bag contains 600 coins. 30% are 50p coins. How many 50p coins?,160,170,180,190,180,indiabix
aptitude,Percentages,hard,Water evaporates 2% per hour from a tank of 800 litres. How much remains after 2 hours?,768,766,770,764,768,indiabix
aptitude,Profit & Loss,easy,CP=Rs.100 SP=Rs.120. Profit%?,15%,20%,25%,10%,20%,indiabix
aptitude,Profit & Loss,easy,CP=Rs.200 Loss=10%. SP=?,170,175,180,185,180,indiabix
aptitude,Profit & Loss,easy,SP=Rs.110 Profit=10%. CP=?,90,95,100,105,100,indiabix
aptitude,Profit & Loss,easy,CP=Rs.50 SP=Rs.40. Loss%?,15%,20%,25%,10%,20%,indiabix
aptitude,Profit & Loss,easy,A shopkeeper buys 10 oranges for Rs.10 and sells 8 for Rs.10. Gain%?,20%,25%,30%,15%,25%,indiabix
aptitude,Profit & Loss,easy,If CP=SP profit or loss is?,0%,5%,10%,Cannot determine,0%,indiabix
aptitude,Profit & Loss,easy,CP=Rs.150 Profit=Rs.30. Profit%?,15%,20%,25%,10%,20%,indiabix
aptitude,Profit & Loss,easy,SP=Rs.80 Loss=20%. CP=?,90,95,100,105,100,indiabix
aptitude,Profit & Loss,easy,A man sells for Rs.132 gaining 10%. His CP is?,110,115,120,125,120,indiabix
aptitude,Profit & Loss,easy,Profit on selling price is 20%. Profit % on CP is?,20%,25%,22%,18%,25%,indiabix
aptitude,Profit & Loss,medium,A sells to B at 20% profit. B sells to C at 10% loss. C pays Rs.1080. A's CP?,800,900,1000,1100,1000,indiabix
aptitude,Profit & Loss,medium,Marked price Rs.500 discount 20% profit 25%. CP=?,300,320,340,360,320,indiabix
aptitude,Profit & Loss,medium,A trader marks goods 20% above CP and allows 10% discount. Gain%?,8%,10%,12%,6%,8%,indiabix
aptitude,Profit & Loss,medium,Cost of 12 pens equals SP of 10 pens. Gain%?,16%,18%,20%,22%,20%,indiabix
aptitude,Profit & Loss,medium,By selling 45 items a man gains SP of 9 items. Gain%?,20%,25%,18%,15%,25%,indiabix
aptitude,Profit & Loss,medium,A machine is sold for Rs.5060 at a gain of 10%. Its CP is?,4500,4600,4700,4800,4600,indiabix
aptitude,Profit & Loss,medium,A sells a bicycle to B at 14% gain. B sells to C at 5% loss. C pays Rs.1083. A's CP?,800,850,900,950,900,indiabix
aptitude,Profit & Loss,medium,A grocer sells rice at a profit of 10% and uses weights 20% less. Actual gain%?,37.5%,40%,35%,30%,37.5%,indiabix
aptitude,Profit & Loss,medium,On selling 17 balls at Rs.720 there is loss equal to CP of 5 balls. CP of a ball?,45,50,55,60,45,indiabix
aptitude,Profit & Loss,medium,Ratio of CP to MP is 2:3. Discount offered is 10%. Profit%?,35%,40%,45%,50%,35%,indiabix
aptitude,Profit & Loss,hard,A man purchased goods worth Rs.6000 and sold 1/2 at 10% gain and remaining at 5% loss. Overall?,3.5% gain,3% gain,2.5% gain,2% gain,2.5% gain,indiabix
aptitude,Profit & Loss,hard,A dishonest dealer uses 900gm instead of 1kg and sells at CP. Gain%?,11.11%,10%,9%,12%,11.11%,indiabix
aptitude,Profit & Loss,hard,Two articles sold at same price. One at 20% profit other at 20% loss. Net result?,4% loss,4% gain,No profit no loss,2% gain,4% loss,indiabix
aptitude,Profit & Loss,hard,A man sold two horses for Rs.1710 gaining 25% on one and losing 10% on other. CP were equal. Net profit or loss?,6.25% gain,5% gain,4% loss,7.5% gain,6.25% gain,indiabix
aptitude,Profit & Loss,hard,Cost of 20 articles equals SP of 16. Gain%?,25%,20%,15%,30%,25%,indiabix
aptitude,Profit & Loss,hard,A trader gives 4% discount on marked price still makes 20% profit. If MP is Rs.500 CP is?,400,350,300,420,400,indiabix
aptitude,Profit & Loss,hard,A man buys oranges at Rs.5 for 8 and sells at Rs.6 for 8. Gain or Loss%?,20% gain,16.67% gain,15% gain,10% gain,20% gain,indiabix
aptitude,Profit & Loss,hard,A person incurs 5% loss by selling for Rs.1140. At what price to gain 5%?,1260,1240,1220,1200,1260,indiabix
aptitude,Profit & Loss,hard,A shopkeeper sells 200 metres cloth for Rs.9000 making profit of Rs.5 per metre. CP per metre?,35,40,45,50,40,indiabix
aptitude,Profit & Loss,hard,A merchant mixes 26 kg of rice at Rs.20/kg with 30 kg at Rs.36/kg and sells mixture at 30% profit. SP per kg?,35.76,36,37,38,35.76,indiabix
aptitude,Profit & Loss,easy,If CP=Rs.400 and loss=Rs.60 SP=?,320,330,340,350,340,indiabix
aptitude,Profit & Loss,easy,A man gains 20% by selling an article for Rs.240. CP=?,180,190,200,210,200,indiabix
aptitude,Profit & Loss,medium,An article sold at Rs.396 at 10% discount on MP. MP is?,420,430,440,450,440,indiabix
aptitude,Profit & Loss,medium,A shop offers 2 items at Rs.100 with 30% profit. How much profit total?,60,58,54,50,60,indiabix
aptitude,Profit & Loss,easy,SP is Rs.720 and loss is 10%. CP is?,790,800,810,820,800,indiabix
aptitude,Profit & Loss,easy,CP of 15 items equals SP of 12 items. Gain%?,20%,25%,30%,15%,25%,indiabix
aptitude,Profit & Loss,medium,A man loses 20% by selling for Rs.800. For 20% gain sell at?,1100,1150,1200,1250,1200,indiabix
aptitude,Profit & Loss,hard,A bought item at 20% discount. Sold at 30% profit on MP. Actual profit %?,62.5%,60%,58%,55%,62.5%,indiabix
aptitude,Profit & Loss,hard,A person sells at Rs.920 gaining 15%. What would be % gain if sold at Rs.960?,20%,22%,18%,19%,20%,indiabix
aptitude,Profit & Loss,medium,Trader marks goods 25% above cost and allows 10% discount. His gain is?,12.5%,15%,10%,13.5%,12.5%,indiabix
aptitude,Time & Work,easy,A can do work in 10 days B in 15 days. Together in?,5,6,7,8,6,indiabix
aptitude,Time & Work,easy,A can do work in 20 days. He works for 4 days. Work done?,1/5,1/4,1/3,1/6,1/5,indiabix
aptitude,Time & Work,easy,A and B together finish in 12 days. A alone in 18 days. B alone in?,24,30,36,42,36,indiabix
aptitude,Time & Work,easy,If 5 persons can do 5 units of work in 5 days then 10 persons can do 10 units in?,5,10,15,20,5,indiabix
aptitude,Time & Work,easy,A can do a piece of work in 4 hours B and C together in 3 hours A and C together in 2 hours. B alone in?,12,10,8,6,12,indiabix
aptitude,Time & Work,easy,A tap fills tank in 6 hours and B empties it in 8 hours. Together tank fills in?,24,22,20,18,24,indiabix
aptitude,Time & Work,easy,X can do work in 15 days Y in 10 days. If Y works for 5 days remaining work done by X in?,7.5,8,8.5,9,7.5,indiabix
aptitude,Time & Work,easy,A alone takes 4 times as long as A and B together. B alone takes 3 days. A alone?,4,5,6,8,4,indiabix
aptitude,Time & Work,easy,12 workers can finish in 10 days. 8 workers take?,12,14,15,16,15,indiabix
aptitude,Time & Work,easy,A does 2/3 of work in 12 days. Remaining work in?,4,5,6,7,6,indiabix
aptitude,Time & Work,medium,A can do a work in 10 days B in 15 days C in 20 days. Together in?,4,5,6,7,4,indiabix
